Year,AVERAGE of BOD_Avg,AVERAGE of DO_Avg,,,,
"RIVER BURHI GANDAK AT AKHARAGHAT, MUZAFFARPUR",1.416666667,,,,,
KRISHNA AT MAHABALESHWAR DHOM DAM NEAR KOINA DAM,1.416666667,,,,,
"KABINI AT SARAGUR VILLAGE D/S,",1.416666667,,,,,
GANDAK RIVER U/S ROAD BRIDGE MUZAFFARPUR (NH),1.416666667,,,,,
CAUVERY D/S OF KUSHALANAGAR TOWN,1.416666667,,,,,
ULUBERIA,1.4,,,,,
"U/S GOINDWAL, PUNJAB",1.4,,,,,
SIRSA RIVER D/S RAXAUL (KOERIA TOLA),1.4,,,,,
SINDH U/S SONAMARG,1.4,,,,,
"SATLUJ AT 100M D/S , NANGAL",1.4,,,,,
RIVER YAMUNA AT ETAWAH D/S,1.4,,,,,
RIVER YAMUNA AT BATESWAR,1.4,,,,,
"RIVER TUIRIAL RIVER, AIRFIELD AFTER DUMPING GROUND",1.4,,,,,
RIVER TUIRIAL LOWER CATCHMENT,1.4,,,,,
"RIVER TLAWNG MID STREAM, REIEK KAI, AIZAWL,U/S OF TLAWNG BRIDGE",1.4,,,,,
RIVER SWAN AT D/S NANGAL DISTT. UNA,1.4,,,,,
RIVER SILTORSA AT HASIMARA,1.4,,,,,
RIVER SATLUJ AT PHAGWARA U/S (CHAHERU BRIDGE),1.4,,,,,
RIVER SAI AT UNNAO AFTER DRAIN OUTFALL,1.4,,,,,
RIVER RUSHIKULYA AT NALABANTA,1.4,,,,,
RIVER RAVI AT MADHOPUR (PUNJAB),1.4,,,,,
"RIVER PAWANA AT CHINCHWADGAON, VILLAGE. CHINCHWADGAON,TALUKA. HAWELI,DISTRICT. PUNE.",1.4,,,,,
"RIVER PANCHAGANGA AT SHIROL NEAR SHIROL INTAKE WELL, VILLAGE- SHIROL, TALUKA- SHIROL, DISTRICT- KOLHAPUR.",1.4,,,,,
"RIVER NIRA AT SHINDEWADI, VILLAGE- SHIRVAL, TALUKA- KHANDALA, SATARA.",1.4,,,,,
"RIVER MAHI AFTER CONF. WITH ANAS AT PARDI (BANASWADA),",1.4,,,,,
"RIVER KINNERASANI (TRIBUTRARY OF GODAVARI) - D/S OF KARAKAVAGU AT PALONCHA, BHADRADRI KOTHAGUDEM",1.4,,,,,
"RIVER KALI SINDH AT BAROD ROAD BRIDGE, KOTA, RAJAS",1.4,,,,,
"RIVER GODAVARI AT KAPILA- GODAVARI CONFLUENCE POINT, VILLAGE- TAPOVAN,",1.4,,,,,
"RIVER GANGA AT KACHCHI-DARGAH-BIDUPUR NEAR ROAD BRIDGE, PATNA",1.4,,,,,
"RIVER GAI NADI AT SOMARAJAN, DHEMAJI",1.4,,,,,
"RIVER DENWA NEAR SARNI, ROAD BRIDGE",1.4,,,,,
"RIVER CHATHE AT MEDZIPHEMA, DIMAPUR",1.4,,,,,
RIVER CHATHE AT BRIDGE NEAR CIHSR,1.4,,,,,
"RIVER CAUVERY AT PITCHAVARAM,",1.4,,,,,
"RIVER BURAI BEFORE CONFLUECE TO TAPI RIVER, MUKUDAS, DHULE",1.4,,,,,
RIVER BRAHMANI AT,1.4,,,,,
"RIVER BHAVANI AT D/S OF KALINGARAYAN CANAL (B10), ERODE",1.4,,,,,
"RIVER BHADRA AT U/S OF MPM,",1.4,,,,,
"RIVER BETWA AT NAYAPUR D/S MANDIDEEP INDL. AREA NO.1,DIST.RAISEN",1.4,,,,,
RAVI U/S MADHOPUR,1.4,,,,,
PANAM AT LUNAWADA,1.4,,,,,
NARMADA RIVER AT DHARESHWAR,1.4,,,,,
"NARMADA AT BHARUCH,ZADESHVAR",1.4,,,,,
MULA RIVER AT HARRISON BRIDGE NEAR MULA PAWANA SANGAM.,1.4,,,,,
"MANU RIVER AT MANUGHAT, CONFL POINT OF CHAWMANU CH",1.4,,,,,
"MANU RIVER AT KUMARGHAT, NORTH TRIPURA",1.4,,,,,
"MANU RIVER AT KAILASHAHAR D/S, NORTH TRIPURA",1.4,,,,,
"MAHI (D/S) CONF WITH R. CHAP (UNDER SAGWARASARHI RD. BDG.), RAJASTHAN",1.4,,,,,
MAHANADI A/C WITH MAND,1.4,,,,,
LINGIRA U/S AT ANGUL,1.4,,,,,
KSHIPRA AT TRIVENISANGAM (1 KM. D/S OF SANGAM),1.4,,,,,
"KRISHNA AT VEDADRI, KURNOOL",1.4,,,,,
KRISHNA AT HAMSALADEEVI PULIGADDA AQUEDUCT NEAR AVANIGADDA(V),1.4,,,,,
"KAROLA, DS OF JALPAIGURI, NEAR MIN BHAWAN",1.4,,,,,
"HIRAN, NH 7 ROAD BRIDGE, SIHORA, DIST JABALPUR MADHYA PRADESH",1.4,,,,,
"GHOD AT SHIRUR, PUNE",1.4,,,,,
GANGA AT VARANASI US (ASSIGHAT),1.4,,,,,
"GANGA AT RISHIKESH U/S,",1.4,,,,,
GANGA AT BARH,1.4,,,,,
"DRINKING WATER INTAKE WELL OF MUNICIPAL CO. KORBA (BEFORE TREATMENT) AT KOHADIA VILLAGE, CHHATISGARH.",1.4,,,,,
DHANSIRI AT NEAR CHECK GATE (DIMAPUR KHUTKHUTI ROA,1.4,,,,,
"D/S OF RIVER KRISHNA A/C WITH TREATED SEWAGE DISCHARGING FROM STP LOCATED AT RAMALINGESHWARNAGAR, VIJAYAWADA, KRISHNA",1.4,,,,,
"CHAMBAL AT KOTA D/S (2 KM. FROM CITY), RAJASTHAN",1.4,,,,,
"CAUVERY AT KUMBAKONAM, THANJAVUR,",1.4,,,,,
BRAHAMPUTRA AT NIMATIGHAT,1.4,,,,,
BHUBANESWAR FU/S,1.4,,,,,
BHUBANESWAR FD/S ( 2 KM AFTER CONFLUENCE OF GANGUA,1.4,,,,,
BHIMA AT FEROZABAD VILL. (D/S),1.4,,,,,
BATHING GHAT (BHARAOGHAT),1.4,,,,,
BAGMATI AT DARBHANGA - SAMASTIPUR ROAD BRIDGE,1.4,,,,,
ALHI RIVER-NOG(NEAR WATER SUPPLY SCHEME INTAKE)TRIBUTARY OF RIVER SUTLEJ,1.4,,,,,
AJAY AT MASANJORE DAM,1.4,,,,,
RAVI AT U/S MADHOPUR,1.3875,,,,,
"RIVER KOHORA AT N.H. CROSSING, KOHORA, ASSAM (BRAHMAPUTRA)",1.383333333,,,,,
"RIVER GODAVARI KOUNDINYA MUKTHI (V), KUKUNUR (M), BORDER POINT BETWEEN ANDHRA PRADESH and TELANGANA STATES",1.383333333,,,,,
PANCHAGANGA AT ICHALKARANJI,1.383333333,,,,,
KATHJODI AT CUTTACK FD/s AT KAMASASAN,1.383333333,,,,,
SWAN RIVER A/C GARNI KHAD,1.375,,,,,
SUTLEJ AT NEPTHA ZAKHAI,1.375,,,,,
"SABARMATI AT GANDHI NAGAR CHILODA BRIDGE,LEKAWADA",1.375,,,,,
RIVER SUTLEJ D/S CONFLUENCES OF RIVER BASPA,1.375,,,,,
"RIVER MUSI AT PILLAIPALLI, RANGAREDDY",1.375,,,,,
"RIVER MANJEERA (TRIBUTARY OF GODAVARI) - U/S OF RIVER MANJEERA AT GOWDICHERLA BEFORE CONFLUENCE WITH NAKKAVAGU, SANGAREDY",1.375,,,,,
"RIVER MANJEERA (TRIBUTARY OF GODAVARI) - NAKKA VAGU AT BACHUGUDEM, SANGAREEDY",1.375,,,,,
"RIVER INDRAYANI AT U/S OF MOSHIGAON,VILLAGE- MOSHI, TALUKA- HAWELI, DISTRICT- PUNE.",1.375,,,,,
"RIVER GODAVARI D/S OF RAMAGUNDAM AT MANTHANI, PEDDAPALLI",1.375,,,,,
"RIVER GIRNA AT MALEGAON ROAD BRIDGE, VILLAGE. MALEGAON, TALUKA. MALEGAON, DISTRICT. NASHIK.",1.375,,,,,
RIVER DHANSIRI AT BRIDGE NEAR PURANA BAZAAR,1.375,,,,,
RIVER BRAHAMPUTRA AT BISWANATH GHAT,1.375,,,,,
"RIVER BEBUS AT RAJGHAT DAM, SAGAR",1.375,,,,,
NANDIRA U/S AT KUKUDANGA,1.375,,,,,
"KHAROON B/C KHAPRI DRAIN, DURG, RAIPUR ROAD BRIDGE",1.375,,,,,
"GANGA AT KURJI, PATNA U/S",1.375,,,,,
DZUCHA RU,1.375,,,,,
RIVER TIKIRA AT KANIHA U/S,1.366666667,,,,,
"RIVER BURHIDIHING AT DULIAJAN (INTAKE POINT OF OIL INDIA LTD.), ASSAM",1.366666667,,,,,
"BANGURU NALLAH (OVER BRIDGE TALCHER RENGALI DAM ROAD, SARKISOREPAL)",1.366666667,,,,,
"YAMUNA AT MATHURA US , U.P.",1.35,,,,,
"YAMUNA AT MATHURA DS , U.P.",1.35,,,,,
"UJAD,U/S OF BHIM SAGAR DAM, JHALAWAR",1.35,,,,,
U/S HARBORA BEFORE SUGAR MILL NEAR ROAD BRIDGE NARKATIGANJ,1.35,,,,,
TUNGHA D/S OF SHIMOGA TOWN,1.35,,,,,
"TUIKUAL STREAM, D/S, REIEK KAI, NEAR PHE WATER TREATMENT PLANT, AIZAWL",1.35,,,,,
"TAWI,U/S TAWI BRUDGE, BAGH 稥BAHU LIFTING POINT",1.35,,,,,
"TAWI, BELOW TAWI BRIDGE",1.35,,,,,
SUTLEJ AT D/S KHAIRIAN SOLID WASTE DUMPING SITE BILASPUR,1.35,,,,,
SIUEL D/S SURGANI,1.35,,,,,
SATLUJ U/S TATAPANI,1.35,,,,,
"SATLUJ AT 100M D/S BUDHA NALA CONFL., LUDHIANA",1.35,,,,,
RUSHIKULYA AT NALABANTA,1.35,,,,,
RIVER YAMUNA D/S PAONTA SAHIB,1.35,,,,,
"RIVER WENA AT U/S OF MOHATA MILLS, NEAR RAILWAY BRIDGE ON WARDHA, CHANDRAPUR RAILWAY LINE, VILLAGE- HINGANGHAT, TALUKA- HINGANGHAT, WARDHA.",1.35,,,,,
RIVER VENNAR AT THANJAVUR U/S,1.35,,,,,
"RIVER VENNA AT VARYE, VILLAGE - VARYE,TALUKA- SATARA,",1.35,,,,,
RIVER VARUNA BC WITH RIVER GANGA AT VARANASI,1.35,,,,,
"RIVER TITUR D/S OF CHALISGAON, JALGAON",1.35,,,,,
"RIVER SUTLEJ AT D/S HUSSANIWALA-H/W FEROZEPUR, PUNJAB",1.35,,,,,
"RIVER RAMGANGA AT KALAGARHBARRAGE,KALAGARH, DIST,PAUDHIGADHWAL (U.K.)",1.35,,,,,
"RIVER PAWANA AT PIMPRIGAON, VILLAGE- PIMPRIGAON, TALUKA- HAWELI, DISTRICT- PUNE.",1.35,,,,,
"RIVER NIRA AT SHINDEWADI, VILLAGE- SHIRVAL, TALUKA- KHANDALA, DISTRICT- SATARA.",1.35,,,,,
"RIVER MUSI AT BHEEMARAM BRIDGE, BHEEMARAM (V), KETHEPALLY (M), NALGONDA (D)",1.35,,,,,
"RIVER MUSI AT BAPUGHAT SANGAM, HYDERABAD",1.35,,,,,
RIVER MAHANADI AT HIRAKUD RESERVOIR,1.35,,,,,
"RIVER KRISHNA AT WAI, SATARA",1.35,,,,,
"RIVER KRISHNA AT MAIGHAT, VILLAGE- GAWALI GALLY, TALUKA- MIRAJ, DISTRICT- SANGLI.",1.35,,,,,
"RIVER KABANI AT MUTHANGA,WAYANAD",1.35,,,,,
RIVER INDRAWATI AT NOWRANGPUR (ODISHA),1.35,,,,,
"RIVER HINDON AT SARDHANA BUDHANA ROAD, VILLAGE BAP",1.35,,,,,
"RIVER GANGA AT SERAMPORE, HOOGHLY,WEST BENGAL",1.35,,,,,
RIVER GANGA AT D/S NAWADAGHAT,1.35,,,,,
"RIVER CHAMBAL AT KESHORAIPATTAN D/S NEAR AMBEDKAR NAGAR, BUNDI",1.35,,,,,
RIVER BRAHMANI AT TALCHER FD/S,1.35,,,,,
"RIVER BHADRA AT U/S OF KIOCL,",1.35,,,,,
RIVER BETWA D/S AFTER MIXING OF RIVER BAIS AT VIDISHA,1.35,,,,,
RIVER BANER KHAD D/S CHAMUNDA TEMPLE,1.35,,,,,
"RAVI U/S OF MADHOPUR H/W, GURDASPUR",1.35,,,,,
POONPUN RIVER NEAR POONPUN RAIL BRIDGE,1.35,,,,,
"PARVATI BEFORE MEETING RIVER CHAMBAL AT KHATOLI,",1.35,,,,,
MORA BHARALI AT TEZPUR,1.35,,,,,
"LARGI AT D/S,",1.35,,,,,
"LAKSHMANTIRTHA AT D/S OF KATTEMALAVADI,",1.35,,,,,
KRISHNA AT VIJAYWADA,1.35,,,,,
KHA RU ADJOINING MUNICIPAL COUNCIL SWM SITE,1.35,,,,,
KENDRAPADA U/S,1.35,,,,,
KELO D/S OF RAIGARH,1.35,,,,,
KATHJODI FD/S AT MATTAGAJPUR,1.35,,,,,
KABATABANDHA (BEFORE IMPACT OF INDUSTRIAL ACTIVITY,1.35,,,,,
JHELAM AT CHATTABAL WEIR (OUTLET,1.35,,,,,
GODAVARI U/S RAJAMUNDRY OF NALLA CHANNEL,1.35,,,,,
"GODAVARI AT RAJAMUNDRY U/s OF NALLA CHANNEL, EAST GODAVARI DISTRICT",1.35,,,,,
"GODAVARI AT RAJAMUNDRY U/s OF NALLA CHANNEL, EAST GODAVARI DIST.",1.35,,,,,
"GANGA AT CONFLUENCE OF SONE DORIGANJ, CHAPRA",1.35,,,,,
EAST KALI BEIN FALLING INTO RIVER BEAS,1.35,,,,,
DAMASALA AT DAYANABIL,1.35,,,,,
"D/S HUSSANIWALA H/W FEROZEPUR, PUNJAB",1.35,,,,,
CONFLUENCE POINT OF SARSA NADI WITH RIVER SUT,1.35,,,,,
"BOGINADI NEAR BRIDGE NH52, LAKHIMPUR",1.35,,,,,
BHOGDOI AT JORHAT,1.35,,,,,
"BHAVANI AT SIRUMUGAI, TAMILNADU",1.35,,,,,
BHALLA RIVER U S KASHIPUR,1.35,,,,,
BHALLA RIVER AT LOHIA BRIDGE D S KASHIPUR,1.35,,,,,
"AMRAVATI AT VILLAGE DADHAL , TA ANKLESHWAR, BHARUC",1.35,,,,,
MAHI AT VASAD,1.3375,,,,,
"RIVER YAMUNA AT KALANAUR, YAMUNA NAGAR",1.333333333,,,,,
"RIVER TRIBENI ON GANGA, NEAR BURNING GHAT, HOOGHLY",1.333333333,,,,,
"RIVER TEESTA AT SEVOKE, SILIGURI, DARJEELING",1.333333333,,,,,
RIVER BANGURUSINGADA JHOR,1.333333333,,,,,
YAMUNA AT WAZIRABAD,1.325,,,,,
"RIVER WAINGANGA AFTER CONFLUENCE WITH KANHAN RIVER, VILLAGE- AMBHORA,TALUKA- KUHI, DISTRICT- NAGPUR.",1.325,,,,,
"RIVER MILAK AT BORBORA WARD, TULI",1.325,,,,,
RIVER GIRI AFTER CONFLUENCE OF ASHWANI RIVER AT VILLAGE MARYOG,1.325,,,,,
RIVER DHANSIRI AT FULL NAGARJAN BRIDGE,1.325,,,,,
"RIVER BANJAR RIVER NEAR ROAD BRIDGE, VILL. KHARRADHAR MALANJKHAND.",1.325,,,,,
RAW WATER FROM AT GUMMA NAUTI KHAD,1.325,,,,,
"JAMMER AT DHOLOWAD, RATLAM",1.325,,,,,
"GODAVARI AT JALNA INTAKE WATER PUMP HOUSE, SHAHABAD",1.325,,,,,
"CAUVERY AT RANGANATHITTU,",1.325,,,,,
RIVER BEAS AT RAISON,1.32,,,,,
RIVER PARVATI AT U/S MANIKARAN,1.316666667,,,,,
RIVER NARMADA N.H. 44 NEAR ROAD BRIDGE AT BARMAN. JABALPUR,1.316666667,,,,,
"RIVER JHANJI AT N.H. CROSSING JORHAT, ASSAM",1.316666667,,,,,
RIVER BRAHMANI AT TALCHER U/S,1.316666667,,,,,
"UJH RIVER AT DAM SITE(L.H.S.), KATHUA",1.3,,,,,
UJH AT DAM SITE,1.3,,,,,
"TAWI AT JAMMU U/S, (TAWI BDG )",1.3,,,,,
"SUTLEJ AT BOAT BDG. DHARMKOTNAKODAR ROAD, JALANDHA",1.3,,,,,
SUKETI KHAD D/S MANDI,1.3,,,,,
SINGDA JHOR,1.3,,,,,
"SIKRAHNA AT LAUREA, HARINAGAR ROAD BRIDGE",1.3,,,,,
"SHIMSHA D/S OF BRIDGE, HALAGUR",1.3,,,,,
"SATLUJ AT BOAT BDG. DHARMKOTNAKODAR ROAD, JALANDHAR",1.3,,,,,
SAMBHALPUR FD/s AT HUMA,1.3,,,,,
"RIVER WAINGANGA AT ASHTI, VILLAGE. ASHTI, TALUKA. GONDPIPRI, DISTRICT.CHANDRAPUR.",1.3,,,,,
"RIVER WAGHUR AT- SAKEGAON BEFORE CONFLUENCE WITH TAPI RIVER, VILLAGE- SAKEGAON, TALUKA- JALGAON, DISTRICT- JALGAON.",1.3,,,,,
"RIVER TIAU RIVER, CHAMPHAI",1.3,,,,,
"RIVER SONE U/S TO RIHAND, CHOPAN (U.P.)",1.3,,,,,
"RIVER SONE AT NASIRIGANJ DAM, ROHTAS",1.3,,,,,
"RIVER SABARMATI AT RAILWAY BRIDGE AHMEDABAD,",1.3,,,,,
"RIVER RIVER SONE AT VILLAGE- KHAIRPUR,(KUDHERI) M.P- U.P.BOUNDARY, DISTT SIDHI",1.3,,,,,
"RIVER NARMADA AT MANDLA, NEAR SHAMSHANGHAT, JABALPUR",1.3,,,,,
RIVER HARABAGH(INTAKE FROM BBMB SOURCE-BBMB ADIT HARABGH)WATE SPRING,1.3,,,,,
"RIVER GOUR BHOGA DOOR, JABALPUR",1.3,,,,,
"RIVER GODAVARI AT TAPOVAN, TAPOVAN, NASHIK",1.3,,,,,
RIVER GANGA AT TRIVENI GHAT,1.3,,,,,
"RIVER GANGA A/C TAMSA, SIRSA, SON BARSA",1.3,,,,,
RIVER GAMBHIR AT DAM SITE UJJAIN,1.3,,,,,
RIVER DHANSIRI NEAR NAGALAND- ASSAM BORDER,1.3,,,,,
"RIVER DAMODAR NEAR ROHINI PROJECT, NK AREA, PO-DAKRA, RANCHI",1.3,,,,,
"RIVER CAUVERY D/S BARACHUKI FALLS, SATHEGALA, KOLLEGALA",1.3,,,,,
"RIVER CAUVERY AT BANNUR BRIDGE,",1.3,,,,,
"RIVER BRAHMANI AT TALCHER FU/S (INTAKE WELL OF MCL, TALCHER)",1.3,,,,,
"RIVER BINDUSARA AT BEED, NEAR INTAKE WATER PUMP HOUSE AT DAM, VILLAGE- PALIGAON, TALUKA- BEED,",1.3,,,,,
"RIVER BHIMA AT D/S OF BUNDGARDEN, VILLAGE . YERWADA,TALUKA. HAWELI, DISTRICT. PUNE.",1.3,,,,,
"RIVER BASLI GOHAD DAM, GOHAD, M.P",1.3,,,,,
"PAWANA AT CHINCHWADGAON, PUNE.",1.3,,,,,
NARMADA NEAR SOURCE AT AMARKANTAK,1.3,,,,,
MALPRABHA D/S OF KHANAPUR VILLAGE,1.3,,,,,
MAHANADI AT SHEORINARAYAN VILLAGE,1.3,,,,,
KELO U/S OF RAIGARH,1.3,,,,,
GANGA AT U/S BHAGALPUR NEAR BARARIGHAT,1.3,,,,,
"DARNA RIVER AT MES SITE PUMPING STATION, BHAGUR, NASHIK",1.3,,,,,
"CAUVERY AT TRICHY, GRAND ANAICUT,",1.3,,,,,
BUDHABALANGA AT BALASORE U/S,1.3,,,,,
"BHIMA AT NARSINGHPUR, (D/S AF.CONFL.WITH R.NIRA)",1.3,,,,,
BHIMA AT D/S OF BDG. NEAR YADGIR,1.3,,,,,
BHIMA AT CONFLUENCE OF JEWARGI TOWN SEWAGE DISPOSAL POINT,1.3,,,,,
BHAGIRATHI AT GANGOTARI,1.3,,,,,
BHADRAK U/S,1.3,,,,,
"BATHING GHAT, GOLAGHAT",1.3,,,,,
"BASANTER U/S (R.H.S) SAMBA (BELOW NH1A BRIDGE),",1.3,,,,,
"BARNADI RIVER NEAR BRIDGE, NH-52, DUMUNICHOWKI KAMRUP",1.3,,,,,
BEAS U/S MANDI,1.2875,,,,,
"RIVER PAGLDIA NEAR NALBARI TOWN, DIST. NALBARI, ASSAM",1.283333333,,,,,
RIVER NARMADA 500 M.D/S NEAR JAIN MANDER VILLAGE NEMAWAR,1.283333333,,,,,
RIVER MAHANADI AT SAMBALPUR FD/S AT SHANKARMATH,1.283333333,,,,,
KRISHNA AT RAJAPUR WEIR,1.283333333,,,,,
"RIVER PAWANA AT DAPODI BRIDGE, AT PAWANA- MULLA SANGAM, VILLAGE- DAPODI, TALUKA- HAWELI, DISTRICT- PUNE.",1.275,,,,,
"RIVER MANJEERA (TRIBUTARY OF GODAVARI) - D/S OF RIVER MANJEERA AT GOWDICHERLA ATFTER CONFLUENCE WITH NAKKAVAGU, SANGAREDDY",1.275,,,,,
"RIVER KUSEI BEFORE JOINING WITH BAITARANI AT ANANDPUR, DEOGAON",1.275,,,,,
"RIVER KRISHNA AT KRISHNA- VENNA SANGAM MAHULI , VILLAGE- MAHULI,TALUKA- MAHULI, DISTRICT- SATARA.",1.275,,,,,
"RIVER CHATHE NEAR ICAR, MEDZIPHEMA",1.275,,,,,
"RIVER BETWA DOWNSTREAM AT SUKMA-DUKMA DAM, DIST-JHANSI (U.P.)",1.275,,,,,
MAHANADI AT INTERSTATE BOUNDRY,1.275,,,,,
RIVER YAMUNA AT SONEPAT,1.266666667,,,,,
GODAVARI AT DHALEGAON,1.266666667,,,,,
"U/S PATHANKOT, PUNJAB",1.25,,,,,
SWAN D/S NANGAL DISTT. UNA,1.25,,,,,
"SUTLEJ AT D/S EAST BASIN, PUNJAB",1.25,,,,,
"SUTLEJ AT 100M D/S , NANGAL, PUNJAB",1.25,,,,,
SUBARNAREKHA AT BEHRAGORA (JHARKHAND),1.25,,,,,
"SEONATH AT U/S RAJNANDGAON,",1.25,,,,,
SATLUJ RIVER D/S TIDONG HEP,1.25,,,,,
SATLUJ AT D/S SLAPPER,1.25,,,,,
SAMBA(BELOW NH1A BRIDGE) BASANTAR US (R.H.S.),1.25,,,,,
SABARMATI AT RAILWAY BRIDGE AHMEDABAD,1.25,,,,,
"RIVER YAMUNA AT JUHIKA B/C WITH CHAMBAL, ETAWAH, U.P",1.25,,,,,
"RIVER WAINGANGA AT CHINDWARA, M.P.",1.25,,,,,
RIVER VENNAR AT THANJAVUR D/S,1.25,,,,,
"RIVER PEDHI NEAR ROAD BRIDGE AT DADHI-PEDHI VILLAGE, BHATKULI, AMRAVATI",1.25,,,,,
"RIVER PAWANA AT RAVET WEIR, RAVET, HAWELI",1.25,,,,,
RIVER NONBAH AT NANGSTOIN MARKE,1.25,,,,,
RIVER NAMBOL AT BISHNUPUR,1.25,,,,,
"RIVER NAKKAVAGU, BACHUGUDEM, MEDAK, A.P",1.25,,,,,
"RIVER MUTHA AT KHADAKVASLA DAM, KHADAKVASLA, HAWELI, PUNE.",1.25,,,,,
"RIVER MANJEERA AT D/S OF LATUR NEAR LATUR-NANDED BRIDGE, BHATKHEDA, LATUR, LATUR",1.25,,,,,
"RIVER MALPRABHA AT D/S OF AIHOLE TOWN,",1.25,,,,,
"RIVER GODAVARI AT RAJAHMUNDRY U/S, KUMARADEVAM, EAST GODAVARI",1.25,,,,,
"RIVER GANGA AT ULUBERIA , HOWRAH,WEST BENGAL",1.25,,,,,
"RIVER GANGA AT GANDHIGHAT, NIT PATNA",1.25,,,,,
RIVER ETHAI BARRAGE ON MANIPUR RIVER,1.25,,,,,
"RIVER CHANDRABHAGA U/S OF PANDHARPUR TOWN, GURSALE, PANDHARPUR",1.25,,,,,
RIVER ALAKNANDA A/C WITH BHAGIRATHI AT DEVPRAYAG,1.25,,,,,
RAM REKHAAT HARINAGAR,1.25,,,,,
"PENGANGA NR WATER SUPPLY SCHEME OF UMARKHED MC BELKHED, UMARKHED, YAVATMAL",1.25,,,,,
"PARVATI B/M CHAMBAL AT KHATOLI, KOTA",1.25,,,,,
"MULAMUTHA D/S OF THEUR, HAWELI, PUNE",1.25,,,,,
LAKSHMANTIRTHA D/S OF KATTEMALAVADI,1.25,,,,,
KRISHNA AT D/S OF DEVASAGAR BDG.,1.25,,,,,
KHAROON A/C KHAPRI DRAIN,1.25,,,,,
"HASDEO, DRINKING WATER INTAKE WELL OF MUNICIPAL CO. KORBA (BEFORE TREATMENT) AT KOHADIA VILLAGE",1.25,,,,,
"GODAVARI, D/S OF RAMANUGUNDAM, A.P",1.25,,,,,
GODAVARI D/S RAJAHMUNDRY,1.25,,,,,
"GODAVARI AT MANCHERIAL, NEAR RLY BDG B/C OF RALLAV",1.25,,,,,
GANGA D/S MOKAMA,1.25,,,,,
"GANGA AT A/C OF RIVER SONG NEAR SATYANARAYAN TEMPLE D/S RAIWALA, DEHRADUN",1.25,,,,,
"DISANG AT GUNDAMGHAT,",1.25,,,,,
"DHANSIRI RIVER NEAR BRIDGE AT NH15, DHANSIRI BHALUKMARI JUNGLE, UDALGURI",1.25,,,,,
"DARNA AT SANSARI , NASHIK",1.25,,,,,
CHILLAR AT SHAJAPUR,1.25,,,,,
CHENAB RIVER AT CHADRA GAON VIEW POINT(4 KM U/S FROM SPOT),1.25,,,,,
BHIMA D/S OF ROAD BRIDGE AT GANGAPUR VILLAGE,1.25,,,,,
BHIMA D/S FEROZABAD VILLAGE,1.25,,,,,
BHADRAK D/S,1.25,,,,,
BEKI AT NH37 CROSSING AT BARPETA ROAD,1.25,,,,,
"BARNADI RIVER NEAR BRIDGE, NH52, DUMUNICHOWKI KAMRUP",1.25,,,,,
"BAGMATI RIVER AT DARBANGA, SAMASTIPUR ROAD BRIDGE",1.25,,,,,
BAGMATI AT MUZAFFARPUR - SITAMARHI ROAD BRIDGE,1.25,,,,,
"ASANGI NALLA AT ASANGI VILLAGE,",1.25,,,,,
RIVER GANGUA AT SAMANTARAPUR,1.233333333,,,,,
"RIVER PAWANA AT RAVET WEIR, VILLAGE. RAVET, TALUKA. HAWELI, DISTRICT. PUNE.",1.2325,,,,,
"TUNGA AT D/S OF SHIMOGA TOWN,",1.225,,,,,
SUTLEJ AT U/S RAMPUR,1.225,,,,,
SATLUJ AT U/S RAMPUR,1.225,,,,,
RIVER SUTLEJ D/S OF EXIT POINT OF DEHAR POWER HOUSE,1.225,,,,,
"RAMREKHA RIVER AT U/S HARINAGAR, WEST CHAMPARAN",1.225,,,,,
MOL KHAD D/S PALAMPUR,1.225,,,,,
"KRISHNA AT VIJAYWADA, KRISHNA",1.225,,,,,
"RIVER BETWA NEAR ROAD BRIDGE, BHOJPUR",1.216666667,,,,,
BRAHAMPUTRA AT JOGIJHOGA NEAR BRIDGE,1.216666667,,,,,
YAMUNA U/S PAONTA SAHIB,1.2,,,,,
"WARDHA RIVER AT D/S OF ERAI RIVER, HADASTI, CHANDRAPUR",1.2,,,,,
TUNGHABHADRA AT HONNALI BRIDGE,1.2,,,,,
TUNGABHADRA U/S OF HPF,1.2,,,,,
TUNGABHADRA D/S OF GANGAWATHI,1.2,,,,,
TONS RIVER,1.2,,,,,
"THIRUMANIMUTHAR AT SALEM, D/S OF SAGO and TEXTILE DY",1.2,,,,,
"TAWI,D/S TAWIBRIDGE , BELICHARANA",1.2,,,,,
TAWI AT BAGH-E-BAHU LIFTING POINT,1.2,,,,,
"SIRSA , U/S SITOMAJRI NALLAHGARH",1.2,,,,,
SINDH D/S SONAMARG,1.2,,,,,
"SINDH AT RANGIL, SRINAGAR",1.2,,,,,
"SILABATI, D/S AT GHATAL",1.2,,,,,
SATLUJ U/S SLAPPER,1.2,,,,,
"SATLUJ AT U/S HUSSANIWALA H/W FEROZEPUR, PUNJAB",1.2,,,,,
"SARABANGA AT SALEM, D/S OF TEXTILE DYEING INDUSTRI",1.2,,,,,
RUSHIKULYA AT ASIKA,1.2,,,,,
"RIVER YAMUNA AT PALLA, DELHI",1.2,,,,,
"RIVER WATER INTAKE POINT FOR BURDWAN TOWN, BURDWAN",1.2,,,,,
"RIVER U/S OF TARAPITH ON DWARKA AT SADHAK BAMDEB GHAT, BIRBHUM",1.2,,,,,
