Year,AVERAGE of BOD_Avg,AVERAGE of DO_Avg,,,,
AMRAVATI AT 1KM D/S FROM EFF.DIS. PT. AT MADHUTHUKKULAM,24.6375,,,,,
BEAS AT D/S PANDOH DAM,24.6125,,,,,
"GODAVARI AT U/S OF GANGAPUR DAM,NASIK,MAHARASHTRA",24.6,,,,,
"BEAS AT D/S MANDI, H.P.",24.6,,,,,
"KHAROON RIVER BUNDRI, RAIPUR",24.58333333,,,,,
"DIKHOW RIVER AT NAGINI MORA (INTERSTATE BOUNDARIES, ASSAMNAGALAND)",24.5,,,,,
"RIVER MUTHA AT SANGAM BRIDGE NEAR GANAPATHYGHAT, VILLAGE . SHIVAJI NAGAR, TALUKA. PUNE, DISTRICT. PUNE.",24.2,,,,,
GANDAK AT GOPALGANJ - PIPRA KOTHI RD BDG (DUMARIA GHAT),24,,,,,
BEAS U/S MANALI,24,,,,,
RIVER CAUVERY AT WATER SUPPLY INTAKE POINT AT TORE KADANA HALLI,23.95,,,,,
"PACHIN RIVER AT NAHARLAGUN (BELOW BARAPANI BRIDGE),",23.7,,,,,
"TUNGABHADRA AT D/S OF GANGAWATHI, KARNATAKA",23.63333333,,,,,
"KHARI AT LALI VILLAGE NEAR AHMEDABAD, GUJARAT",23.4,,,,,
"KRISHNA D/S OF SRISHAILAM, KURNOOL, A.P.",23.18333333,,,,,
"JHANJI AT N.H. CROSSING JORHAT, ASSAM",23.175,,,,,
"BHIMA AT FEROZABAD VILLAGE (D/S), KARNATAKA",23.16666667,,,,,
RIVER TUNGA AT D/S OF SHIMOGA TOWN,23.15,,,,,
"BURAI B/C TO TAPI MUKUDAS, DHULE",23.1,,,,,
KALINAD B/CI AT KANNAUJ,23,,,,,
"TUNGABHADRA AT NEW BRIDGE, KARNATAKA",22.81666667,,,,,
RIVER CAUVERY D/S OF MADDUR WATER SUPPLY TREATMENT PLANT AT BACHALLI,22.75,,,,,
"BHADRA AT U/S OF KIOCL, KARNATAKA",22.73333333,,,,,
RIVER SUTLEJ U/S CONFLUENCE WITH GANVI KHAND,22.5,,,,,
"RIVER CAUVERY AT SEERAPALAYAM, NAMAKAL,",22.45,,,,,
KELO RIVER U/S OF RAIGARH,22.31666667,,,,,
"CAUVERY AT MOHANUR NEAR PATTAIPALAYAM, TAMILNADU",22.3,,,,,
"TONS AT MADHAVGARH, NEAR PHED W/S INTAKE POINT, SA",22,,,,,
RIVER KABINI U/S INTAKE POINT TO NANJANAGUD and GUNDLUPET AT DEBUR,21.86666667,,,,,
NEUGAL D/S THURAL,21.6,,,,,
RIVER MAHI FOREST GUEST HOUSE RAJAPUR MATAJI SHIVGARH RATLAM.,21.575,,,,,
"RIVER RAPTI AFTER CONFL. OF R. HONIN NR. DOMINGARH RLY BRIDGE, GORAKHPUR",21.5,,,,,
KRISHNA D/S OF ALAMATTI DAM,21.5,,,,,
"GANGA AT HARIDWAR D/S, U.P",21.5,,,,,
DAMODAR NEAR MUJHER MANA VILLAGE A/C OF TAMLA NALLAH,21.5,,,,,
"RIVER NARMADA AT CHANDOD,",21.48333333,,,,,
"DAMODAR NEAR MUJHER MANA VILLAGE AFTER CONF. OF TAMLA NALLAH, WEST BENGAL",21.43333333,,,,,
"RAPTI A/C OF HONIN NR. DOMINGARH RLY BRIDGE, GORAKHPUR",21.3,,,,,
"MANAS RIVER AT NH-31 CROSSING, BARPETA, DISTRICT",21.175,,,,,
"BRAHAMPUTRA AT JOGIJHOGA NEAR BRIDGE, ASSAM",21.15,,,,,
"RIVER HINDON AT GHAZIABAD D/S KULESHRA GB NAGAR, U.P.",20.95,,,,,
"LIDDER NALLAH NERA BUMZOO, ANANTNAG",20.7,,,,,
"RIVER KABANI AT MUTHANKARA, WAYANAD",20.675,,,,,
"TUNGABHADRA AT HARIHAR WATER SUPPLY INTAKE, KARNATAKA",20.6,,,,,
"PANZARA NEAR PANZARAKAN SSK LTD, PANZARA, DHULE",20.5,,,,,
"DAMODAR,WATER INTAKE POINT FOR BURDWAN TOWN",20.5,,,,,
"BRAHMANI AT U/S PANPOSH, ODISHA",20.5,,,,,
D/S (SHUKLAGANJ),20.45,,,,,
"RIVER MANDAKINI AT CHITRAKUT, M.P.",20.225,,,,,
"CHAMBAL AT GANDHI SAGAR DAM, RAMPURA, MP",20.2,,,,,
